Site,Metaboliccapacity
1,478.858191
2,77.7521652
3,59.2161522
4,316.247155
5,313.794602
6,281.266775
7,367.012273
8,488.669393
9,48.559669
10,285.0418
11,96.0193115
12,956.724634
13,195.312401
14,224.568403
15,98.3970367
16,332.143361
17,130.98526
18,476.305293
